date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
02-11-2019,2020,0,,WAS,MIN,1446.702512,1496.728146,0.57142698,0.42857302,1425.857557,1517.573102,1435.492414,1487.189355,0.559647498,0.440352502,1415.217874,1507.463895,1427.18702,1575.301407,0.421823583,0.578176417,109,131,loose
02-11-2019,2020,0,,GSW,CHO,1547.024529,1466.295023,0.738919977,0.261080023,1533.665263,1479.654288,1581.381446,1466.637873,0.717062118,0.282937882,1568.645841,1479.373478,1422.706624,1345.027772,0.671852014,0.328147986,87,93,loose
02-11-2019,2020,0,,POR,PHI,1604.327325,1609.256295,0.633502639,0.366497361,1598.784644,1614.798976,1641.021957,1636.723257,0.644010099,0.355989901,1635.348482,1642.396733,1534.81791,1661.804849,0.459357656,0.540642344,128,129,loose
03-11-2019,2020,0,,IND,CHI,1495.892191,1354.078741,0.800909763,0.199090237,1499.980185,1349.990748,1492.876683,1312.493105,0.833633904,0.166366096,1496.207557,1309.16223,1425.028457,1460.954063,0.590595536,0.409404464,108,95,win
03-11-2019,2020,0,,MIA,HOU,1532.553323,1637.280585,0.493197343,0.506802657,1554.258989,1615.574918,1535.071606,1690.413381,0.41430735,0.58569265,1561.3242,1664.160787,1424.139236,1711.908709,0.248150233,0.751849767,129,100,win
03-11-2019,2020,0,,NYK,SAC,1310.18247,1417.038168,0.490135137,0.509864863,1293.659878,1433.560759,1254.208088,1409.154816,0.430939483,0.569060517,1240.144699,1423.218205,1268.953368,1484.249467,0.348550212,0.651449788,92,113,loose
03-11-2019,2020,0,,SAS,LAL,1577.761272,1512.57549,0.721293285,0.278706715,1563.777148,1526.559614,1593.189063,1512.043499,0.728678233,0.271321767,1578.977465,1526.255097,1474.050296,1605.521396,0.441274024,0.558725976,96,103,loose
03-11-2019,2020,0,,CLE,DAL,1359.839121,1470.944585,0.484023393,0.515976607,1344.121893,1486.661814,1302.511865,1465.0548,0.414985121,0.585014879,1289.535979,1478.030687,1364.63093,1576.053281,0.348698015,0.651301985,111,131,loose
03-11-2019,2020,0,,LAC,UTA,1544.622436,1599.408087,0.564703821,0.435296179,1553.874196,1590.156326,1553.248597,1616.439657,0.547929121,0.452070879,1562.945282,1606.742973,1573.74653,1622.341686,0.56864569,0.43135431,105,94,win
04-11-2019,2020,0,,WAS,DET,1425.857557,1456.755855,0.598154495,0.401845505,1436.564425,1446.048986,1415.217874,1451.739647,0.583596731,0.416403269,1426.401323,1440.556198,1416.93704,1423.063726,0.625398021,0.374601979,115,99,win
04-11-2019,2020,0,,BRK,NOP,1478.274997,1409.519113,0.725405821,0.274594179,1483.296308,1404.497803,1479.923438,1391.45328,0.744890715,0.255109285,1484.531952,1386.844766,1507.322307,1529.607822,0.606824749,0.393175251,135,125,win
04-11-2019,2020,0,,MEM,HOU,1411.220262,1615.574918,0.35418043,0.64581957,1405.720158,1621.075022,1405.262709,1664.160787,0.342901421,0.657098579,1399.971474,1669.452023,1457.431091,1700.408115,0.363838564,0.636161436,100,107,loose
